iter	Passed	Remaining
0	191	95383
1	235	58644
2	276	45851
3	319	39639
4	372	36888
5	415	34249
6	457	32187
7	501	30828
8	547	29862
9	589	28905
10	628	27940
11	674	27415
12	715	26797
13	753	26141
14	793	25668
15	828	25064
16	868	24663
17	906	24278
18	944	23916
19	988	23719
20	1027	23428
21	1065	23154
22	1102	22861
23	1143	22682
24	1180	22425
25	1216	22185
26	1255	21987
27	1290	21755
28	1321	21463
29	1353	21209
30	1388	21001
31	1419	20763
32	1453	20563
33	1490	20433
34	1528	20302
35	1566	20192
36	1602	20048
37	1651	20075
38	1690	19987
39	1732	19927
40	1775	19872
41	1819	19845
42	1867	19845
43	1908	19777
44	1942	19640
45	1981	19552
46	2020	19472
47	2061	19415
48	2101	19342
49	2140	19263
50	2183	19221
51	2227	19188
52	2269	19137
53	2310	19081
54	2351	19027
55	2391	18958
56	2430	18892
57	2471	18831
58	2514	18796
59	2555	18739
60	2591	18653
61	2631	18586
62	2669	18516
63	2710	18466
64	2752	18419
65	2796	18385
66	2835	18323
67	2876	18271
68	2916	18220
69	2957	18166
70	3000	18129
71	3038	18064
72	3079	18011
73	3122	17973
74	3165	17936
75	3207	17893
76	3253	17875
77	3294	17823
78	3334	17772
79	3374	17717
80	3418	17685
81	3465	17667
82	3504	17609
83	3546	17563
84	3584	17499
85	3625	17454
86	3667	17411
87	3714	17391
88	3754	17337
89	3796	17296
90	3835	17239
91	3877	17196
92	3922	17168
93	3964	17125
94	4012	17107
95	4055	17065
96	4100	17037
97	4141	16990
98	4183	16943
99	4219	16877
100	4253	16803
101	4293	16753
102	4320	16654
103	4359	16598
104	4399	16550
105	4438	16496
106	4481	16459
107	4524	16422
108	4567	16385
109	4607	16334
110	4647	16285
111	4683	16226
112	4729	16198
113	4782	16194
114	4827	16163
115	4870	16122
116	4910	16073
117	4951	16028
118	4994	15990
119	5033	15940
120	5072	15887
121	5107	15825
122	5150	15786
123	5194	15751
124	5238	15715
125	5279	15671
126	5319	15622
127	5359	15576
128	5402	15536
129	5443	15492
130	5484	15448
131	5524	15400
132	5559	15340
133	5598	15291
134	5641	15252
135	5678	15198
136	5719	15153
137	5760	15112
138	5802	15069
139	5841	15021
140	5901	15026
141	5947	14995
142	5990	14954
143	6030	14909
144	6071	14865
145	6116	14829
146	6160	14792
147	6201	14750
148	6239	14698
149	6286	14668
150	6362	14704
151	6417	14693
152	6456	14644
153	6500	14604
154	6543	14564
155	6581	14512
156	6615	14453
157	6661	14419
158	6703	14377
159	6745	14334
160	6785	14288
161	6828	14247
162	6869	14202
163	6910	14157
164	6953	14118
165	6999	14082
166	7033	14024
167	7074	13979
168	7113	13932
169	7151	13883
170	7190	13835
171	7233	13794
172	7278	13757
173	7318	13712
174	7359	13667
175	7400	13623
176	7446	13589
177	7487	13545
178	7541	13524
179	7581	13478
180	7616	13423
181	7654	13373
182	7706	13349
183	7745	13302
184	7785	13255
185	7828	13216
186	7875	13182
187	7914	13134
188	7956	13091
189	7995	13046
190	8038	13005
191	8081	12963
192	8118	12914
193	8160	12871
194	8201	12827
195	8242	12784
196	8284	12742
197	8327	12701
198	8368	12658
199	8406	12609
200	8445	12563
201	8488	12522
202	8527	12475
203	8570	12435
204	8613	12394
205	8656	12354
206	8695	12308
207	8739	12269
208	8789	12237
209	8840	12208
210	8888	12174
211	8935	12139
212	8996	12122
213	9034	12074
214	9073	12028
215	9108	11975
216	9143	11924
217	9183	11880
218	9227	11839
219	9270	11798
220	9311	11755
221	9357	11717
222	9394	11669
223	9432	11622
224	9476	11581
225	9522	11544
226	9569	11508
227	9609	11463
228	9651	11421
229	9686	11371
230	9725	11325
231	9766	11282
232	9806	11237
233	9847	11194
234	9889	11151
235	9931	11109
236	9974	11068
237	10014	11024
238	10053	10978
239	10091	10932
240	10127	10884
241	10170	10843
242	10208	10796
243	10252	10756
244	10294	10714
245	10342	10678
246	10375	10628
247	10417	10585
248	10458	10542
249	10500	10500
250	10539	10455
251	10583	10415
252	10627	10375
253	10670	10334
254	10709	10289
255	10750	10246
256	10789	10201
257	10827	10155
258	10866	10111
259	10904	10065
260	10942	10019
261	10988	9981
262	11022	9933
263	11060	9887
264	11095	9839
265	11139	9799
266	11179	9755
267	11220	9713
268	11260	9669
269	11300	9626
270	11339	9582
271	11379	9538
272	11422	9497
273	11458	9450
274	11495	9405
275	11537	9363
276	11576	9319
277	11619	9279
278	11661	9237
279	11704	9196
280	11744	9153
281	11784	9109
282	11820	9063
283	11861	9021
284	11905	8981
285	11945	8938
286	11984	8894
287	12026	8852
288	12060	8805
289	12102	8764
290	12140	8719
291	12180	8676
292	12220	8633
293	12258	8589
294	12298	8546
295	12338	8503
296	12382	8463
297	12417	8417
298	12450	8369
299	12486	8324
300	12523	8279
301	12563	8236
302	12606	8196
303	12646	8153
304	12692	8114
305	12728	8069
306	12768	8027
307	12809	7984
308	12848	7941
309	12884	7896
310	12926	7855
311	12976	7819
312	13019	7778
313	13062	7737
314	13101	7694
315	13143	7653
316	13183	7610
317	13226	7570
318	13269	7528
319	13307	7485
320	13346	7442
321	13386	7399
322	13426	7357
323	13467	7315
324	13507	7273
325	13551	7233
326	13593	7191
327	13632	7148
328	13673	7106
329	13712	7063
330	13748	7019
331	13788	6977
332	13827	6934
333	13866	6891
334	13903	6847
335	13943	6805
336	13986	6764
337	14028	6723
338	14070	6682
339	14114	6642
340	14159	6602
341	14207	6563
342	14249	6522
343	14284	6477
344	14327	6437
345	14367	6394
346	14400	6349
347	14443	6308
348	14485	6267
349	14526	6225
350	14572	6186
351	14619	6146
352	14663	6106
353	14705	6065
354	14747	6023
355	14788	5981
356	14834	5942
357	14892	5906
358	14942	5868
359	14993	5830
360	15038	5790
361	15083	5750
362	15128	5709
363	15168	5667
364	15209	5625
365	15250	5583
366	15288	5540
367	15330	5498
368	15371	5457
369	15410	5414
370	15449	5371
371	15486	5328
372	15524	5285
373	15556	5240
374	15597	5199
375	15633	5155
376	15674	5113
377	15713	5071
378	15756	5030
379	15793	4987
380	15827	4943
381	15871	4902
382	15911	4860
383	15950	4818
384	15992	4776
385	16034	4735
386	16072	4693
387	16115	4651
388	16153	4609
389	16193	4567
390	16235	4526
391	16276	4484
392	16314	4441
393	16346	4397
394	16384	4355
395	16426	4314
396	16467	4272
397	16509	4230
398	16549	4189
399	16588	4147
400	16631	4106
401	16678	4065
402	16719	4024
403	16764	3983
404	16804	3941
405	16844	3900
406	16887	3858
407	16927	3817
