iter	RMSE
0	10.31466277
1	9.301468164
2	8.390669012
3	7.573055797
4	6.839027776
5	6.181031989
6	5.590942577
7	5.062999196
8	4.571526372
9	4.126288703
10	3.725494389
11	3.370337528
12	3.049495836
13	2.764218188
14	2.507172937
15	2.278014792
16	2.070984599
17	1.885666453
18	1.720547025
19	1.569379826
20	1.434759317
21	1.314375344
22	1.195144414
23	1.088397724
24	0.99099812
25	0.904067315
26	0.8303093256
27	0.7595942414
28	0.6967106652
29	0.6413966704
30	0.5900821054
31	0.5456919132
32	0.505308566
33	0.4698059724
34	0.4388649523
35	0.4104016943
36	0.3856592741
37	0.3645543228
38	0.3456614429
39	0.3293557737
40	0.3148080885
41	0.3019410116
42	0.2913076848
43	0.2818539232
44	0.2731768781
45	0.2653886364
46	0.2589404892
47	0.2531028863
48	0.2475122872
49	0.2427217974
50	0.2386664697
51	0.2350421403
52	0.2319605795
53	0.2295127232
54	0.227032178
55	0.2250829403
56	0.2231954332
57	0.2213535176
58	0.2200642503
59	0.2186483105
60	0.2164826261
61	0.2150652707
62	0.2137842607
63	0.2118931284
64	0.2112566821
65	0.2104678026
66	0.2098906727
67	0.2088120762
68	0.2077605885
69	0.206485992
70	0.2058353989
71	0.2045898761
72	0.2043002139
73	0.2035605939
74	0.2028566458
75	0.2023196279
76	0.2012744624
77	0.2007641763
78	0.2005060051
79	0.2002046267
80	0.1997231234
81	0.1991567445
82	0.1988274134
83	0.1984706371
84	0.19810994
85	0.1979823625
86	0.19757409
87	0.1972951658
88	0.1971662242
89	0.1970035467
90	0.1966512504
91	0.1962274056
92	0.1961757481
93	0.1960734541
94	0.1960067431
95	0.1955560048
96	0.1948157599
97	0.1944485342
98	0.1940622361
99	0.1935369743
100	0.1932133528
101	0.1928956167
102	0.1926359541
103	0.1923747469
104	0.192018502
105	0.1918113732
106	0.191596979
107	0.1913635107
108	0.1911713172
109	0.1909649855
110	0.1908971493
111	0.1904779374
112	0.1903187284
113	0.1902004756
114	0.1899671644
115	0.189737498
116	0.1896558952
117	0.1891735707
118	0.1889593213
119	0.1888519385
120	0.1885812655
121	0.1883981505
122	0.1882572743
123	0.1880705834
124	0.1876545942
125	0.1874720949
126	0.1873647718
127	0.1870644375
128	0.1869532643
129	0.1867524426
130	0.1865848491
131	0.1864904324
132	0.1863759945
133	0.1862521051
134	0.1861156116
135	0.1858738037
136	0.1857257487
137	0.1856322164
138	0.1855524385
139	0.1853465729
140	0.1853038092
141	0.1851960561
142	0.1851038648
143	0.184964091
144	0.1848325335
145	0.1846924902
146	0.1845608628
147	0.1845243382
148	0.1843862148
149	0.1843150053
150	0.1842295209
151	0.1841151083
152	0.184055199
153	0.1838413725
154	0.1837330254
155	0.1836327152
156	0.1835895428
157	0.1835153141
158	0.1831629874
159	0.1830566675
160	0.1830097132
161	0.1828206236
162	0.1827408155
163	0.1826368696
164	0.1825213004
165	0.1823184162
166	0.1822428295
167	0.1821781476
168	0.1821094055
169	0.1820391227
170	0.1819212793
171	0.1817746389
172	0.1817446048
173	0.1817256493
174	0.1815489657
175	0.181504908
176	0.1814546038
177	0.1813972262
178	0.1813279049
179	0.1812030442
180	0.1811519541
181	0.1810315784
182	0.1809895921
183	0.1809724806
184	0.180959703
185	0.1809119374
186	0.1808592423
187	0.1807976765
188	0.180598398
189	0.1805443639
190	0.180504015
191	0.1804985277
192	0.1804783719
193	0.1804158394
194	0.1803310938
195	0.1802504487
196	0.18021198
197	0.1802036771
198	0.1801474495
199	0.1801140188
200	0.1800626989
201	0.180042578
202	0.1800362613
203	0.1799576919
204	0.1798765755
205	0.1798455876
206	0.1797989876
207	0.1797521585
208	0.1796315274
209	0.1794329963
210	0.1793869107
211	0.1791624836
212	0.1791321699
213	0.1790693589
214	0.1790163492
215	0.1788573373
216	0.1786576161
217	0.1786266152
218	0.1785476151
219	0.1785000477
220	0.1784605096
221	0.1783994024
222	0.1783735667
223	0.1783530438
224	0.1783008249
225	0.1782211676
226	0.1781804081
227	0.1781458288
228	0.1781307898
229	0.1780822537
230	0.1780087429
231	0.1779677685
232	0.1777877376
233	0.1777491267
234	0.1776756948
235	0.1775931411
236	0.1775682844
