iter	RMSE
0	1.259827025
1	1.227498784
2	1.195845793
3	1.16541415
4	1.135775495
5	1.107058741
6	1.079194439
7	1.05217387
8	1.02601038
9	1.000921663
10	0.9763052783
11	0.9524567178
12	0.9293667769
13	0.9072591326
14	0.8857096644
15	0.8644259732
16	0.8444078201
17	0.8244758301
18	0.8056494573
19	0.7869548015
20	0.7690880256
21	0.7516936597
22	0.7347104337
23	0.7186540796
24	0.7029106679
25	0.6878354776
26	0.6730987449
27	0.6587688822
28	0.6448281314
29	0.6315019365
30	0.6182392829
31	0.6056049072
32	0.5936006878
33	0.5815112853
34	0.5700762879
35	0.5590030944
36	0.5479787066
37	0.5376113702
38	0.5273712875
39	0.5173422619
40	0.5078072104
41	0.4986609942
42	0.4897684587
43	0.4810836931
44	0.4724952596
45	0.4644299149
46	0.4564067755
47	0.4484229662
48	0.4413149337
49	0.433799357
50	0.4267272542
51	0.4198533369
52	0.4132585629
53	0.4069484519
54	0.400470611
55	0.3942917874
56	0.3884355987
57	0.3826490565
58	0.3769046158
59	0.3714825834
60	0.3663640164
61	0.3613666439
62	0.3565160668
63	0.3516095002
64	0.3470235116
65	0.3426893349
66	0.3385760469
67	0.3344223062
68	0.3302016287
69	0.3263350321
70	0.3226028306
71	0.3188667506
72	0.3153674773
73	0.3117857012
74	0.3082800697
75	0.3051191946
76	0.3019660188
77	0.2988087045
78	0.2958009722
79	0.2930340977
80	0.2902115635
81	0.2875469207
82	0.2849734043
83	0.2824204337
84	0.2800545279
85	0.2777867288
86	0.2754373187
87	0.2731158324
88	0.2708267167
89	0.2687920674
90	0.2666341694
91	0.2646328821
92	0.2625720137
93	0.2607590022
94	0.2589430768
95	0.2572009382
96	0.2556610336
97	0.2540403764
98	0.2522697121
99	0.2506815139
100	0.2489982815
101	0.24745161
102	0.2459602335
103	0.2445829305
104	0.2433771244
105	0.242083052
106	0.2407396593
107	0.2395534952
108	0.2382769759
109	0.2370144915
110	0.2358755244
111	0.2349520513
112	0.2338500259
113	0.2329017924
114	0.2318029626
115	0.230808157
116	0.2298866287
117	0.2290737291
118	0.2282926157
119	0.2273013926
120	0.226523251
121	0.2257016301
122	0.2246858374
123	0.2238790887
124	0.2232300688
125	0.2224592575
126	0.2216960284
127	0.2210124068
128	0.2204594831
129	0.2199627418
130	0.2192325651
131	0.2187427301
132	0.218098885
133	0.2175739309
134	0.2170951489
135	0.2166740227
136	0.2160080306
137	0.2155268961
138	0.2151748594
139	0.2146229091
140	0.2140411568
141	0.2135182847
142	0.2128375284
143	0.2124260376
144	0.2119752271
145	0.2117480488
146	0.211332484
147	0.21087795
148	0.210544508
149	0.2100476514
150	0.209772585
151	0.209405304
152	0.2089583318
153	0.2085568115
154	0.2081538694
155	0.2077674835
156	0.2074944223
157	0.2072110652
158	0.2068654972
159	0.206591653
160	0.2063691066
161	0.2060105148
162	0.2057279441
163	0.205542281
164	0.20520571
165	0.2049132033
166	0.2047088616
167	0.2044635715
168	0.2041405007
169	0.2039251781
170	0.2036920438
171	0.2035666972
172	0.2032506142
173	0.2030888684
174	0.2028651174
175	0.2026723331
176	0.2024165175
177	0.2021676167
178	0.2018834624
179	0.2016714778
180	0.2014976023
181	0.2013457293
182	0.2011290131
183	0.2010094563
184	0.2008600005
185	0.2006864021
186	0.2005756322
187	0.2003423039
188	0.2002306258
189	0.2000538305
190	0.1998157429
191	0.1995812139
192	0.1994509032
193	0.1992924085
194	0.1990439404
195	0.1988826022
196	0.1987161772
197	0.1985181048
198	0.1983236185
199	0.1982307774
200	0.1980383052
201	0.1979525501
202	0.1978312737
203	0.1976303284
204	0.1975200967
205	0.1974164273
206	0.197209782
207	0.1970746036
208	0.1969638365
209	0.1968104332
210	0.1967261757
211	0.1966497442
212	0.1965298046
213	0.1963996975
214	0.19630057
215	0.1961117901
216	0.1959781028
217	0.1958779023
218	0.1958198362
219	0.1956941874
220	0.1955837772
221	0.1955043449
222	0.195380064
223	0.1952881278
224	0.1952080572
225	0.1950295164
226	0.1949654176
227	0.1948896862
228	0.1947647386
229	0.1946805965
230	0.1945504137
231	0.194449981
232	0.1943321523
233	0.1943044907
234	0.1942054216
235	0.1941263884
236	0.1940198499
237	0.1938240203
238	0.1937609506
239	0.1937115758
240	0.1936290186
241	0.1935331203
242	0.1934408161
243	0.1933500537
244	0.1932893148
245	0.1931094471
246	0.1929743686
247	0.1929402876
248	0.192801931
249	0.1927127332
250	0.1925665552
251	0.1924697316
252	0.1924111384
253	0.1923481347
254	0.1923106115
255	0.1922477154
256	0.1921763378
257	0.1921336858
258	0.1920339484
259	0.1919848667
260	0.1919509174
261	0.1918628961
262	0.1918359296
263	0.191787194
264	0.1917135123
265	0.1916687613
266	0.191619878
267	0.1915278038
268	0.1915022151
269	0.1914670509
270	0.191373588
271	0.1913449552
272	0.191182788
273	0.1911322656
274	0.1910769692
275	0.1910468387
276	0.1909003113
277	0.1908169634
278	0.1907757721
279	0.1907036978
280	0.1906469216
281	0.190583915
282	0.1905459344
283	0.1904634301
284	0.1904228408
285	0.1903432193
286	0.1903001713
287	0.1901801539
288	0.1900453633
289	0.1899939281
290	0.1899270659
291	0.1898121017
292	0.189770649
293	0.1897397082
294	0.1897203765
295	0.1896751963
296	0.1896307227
297	0.1895089198
298	0.1894744532
299	0.1894537565
300	0.1894253084
301	0.18937497
302	0.189302927
303	0.1892463503
304	0.1890938249
305	0.1890698934
306	0.1890113329
307	0.188975484
308	0.1889359516
309	0.1888326157
310	0.1887974641
311	0.1887228918
312	0.1886971436
313	0.1886712342
314	0.1885891273
315	0.1885693617
316	0.1885317367
317	0.1884231058
318	0.1883063024
319	0.1882427518
320	0.1881602249
321	0.1881396174
322	0.1881074053
323	0.1880256622
324	0.1879865849
325	0.1879217423
326	0.1878282655
327	0.187770912
328	0.1876503374
329	0.1876104458
330	0.1875332613
331	0.1875010872
332	0.1874754425
333	0.1874030279
334	0.187382011
335	0.1873595335
336	0.1873332793
337	0.1872395948
338	0.187156863
339	0.1871216634
340	0.187079284
341	0.1870321996
342	0.1869293903
343	0.1868841527
344	0.1868480993
345	0.1868271608
346	0.1867937174
347	0.186745994
348	0.1867091146
349	0.1865943973
350	0.1865549008
351	0.1865195827
352	0.1864913753
353	0.1863933328
354	0.1863233206
355	0.1862960082
356	0.1861889352
357	0.1861676423
358	0.1860926222
359	0.1860110473
360	0.1859770416
361	0.1859446827
362	0.1859115656
363	0.185897685
364	0.1858692531
365	0.185844898
366	0.1858023447
367	0.1857917013
368	0.1857816498
369	0.1857034172
370	0.1856456209
371	0.1856132577
372	0.1855790945
373	0.1855595312
374	0.1854807736
375	0.1854652462
376	0.185394617
377	0.1853730989
378	0.1853409874
379	0.1853284068
380	0.1852876319
381	0.1852800863
382	0.1852388992
383	0.1852230217
384	0.1852080261
385	0.185190959
386	0.1851786282
387	0.1851530625
388	0.1851253808
389	0.1850915403
390	0.185041434
391	0.1850290553
392	0.1850092451
393	0.1850001674
394	0.1849838662
395	0.1849544319
396	0.1849371315
397	0.1849120453
398	0.184897883
399	0.1848401953
400	0.1848369198
401	0.1847630149
402	0.1847427887
403	0.1847287293
404	0.1846958486
405	0.1846898703
406	0.1846179132
407	0.1845684206
408	0.1845125357
409	0.1844885275
410	0.184476733
411	0.1844601082
412	0.1844402336
413	0.1844099162
414	0.1843837596
415	0.1843787818
416	0.1843515523
417	0.1843308777
418	0.1843127496
419	0.1842966386
420	0.1842670709
421	0.1842419155
422	0.1841738329
423	0.1841093999
424	0.1840936173
425	0.184071527
426	0.1840421783
427	0.1840368839
428	0.1840275029
429	0.1840224478
430	0.1840013334
431	0.1839630099
432	0.1839405841
433	0.1839256986
434	0.1839207356
435	0.1838826342
436	0.1838760636
437	0.1838178982
438	0.1837912031
439	0.1837885273
440	0.1837791853
441	0.1837686669
442	0.1837618112
443	0.1837545531
444	0.1837382063
445	0.1837290909
446	0.1837228489
447	0.1836720043
448	0.1836683773
449	0.1836608222
450	0.1836567636
451	0.1836407432
452	0.1836117873
453	0.1835965243
454	0.1835861038
455	0.1835836432
456	0.1835788679
457	0.1835751303
458	0.1835519414
459	0.1835482746
460	0.1833400185
461	0.1833359178
462	0.1832854887
463	0.1832831632
464	0.1832765943
465	0.1832742643
466	0.1832631675
467	0.1832609694
468	0.1832475047
469	0.1832316366
470	0.1832137679
471	0.1831942603
472	0.1831879167
473	0.183186417
474	0.1831833078
475	0.1831811499
476	0.1831785945
477	0.1831522821
478	0.1831459245
479	0.1831253442
480	0.1831160238
481	0.1830910536
482	0.183070368
483	0.1830217372
484	0.1830175277
485	0.1830015249
486	0.1829709866
487	0.1829606332
488	0.1829585558
489	0.1829570796
490	0.182945658
491	0.1829374159
492	0.1829225476
493	0.1829048964
494	0.1829014629
495	0.1828920816
496	0.182870697
497	0.1828595636
498	0.1828118628
499	0.1828071781
500	0.1827765908
501	0.1827727225
502	0.1827688389
503	0.1827554067
504	0.1827457991
505	0.1827237076
506	0.1827092882
507	0.1826711953
508	0.18266883
509	0.1826401743
510	0.1826373115
511	0.1826221827
512	0.1826075775
513	0.182598564
514	0.1825896291
515	0.1825703829
516	0.1825234093
517	0.1825123821
518	0.1824970997
519	0.1824788691
520	0.1824629841
521	0.1824555681
522	0.1824433027
523	0.1824226798
524	0.1824132178
525	0.182406604
526	0.1824012859
527	0.1823735062
528	0.1823596628
529	0.1823352021
530	0.1823216219
531	0.1822802019
532	0.1822710656
533	0.1822448402
534	0.1821975717
535	0.1821867147
536	0.1821815934
537	0.1821556819
538	0.1821517629
539	0.182114677
540	0.1820699874
541	0.1820607541
542	0.1820453832
543	0.1820265402
544	0.1820152556
545	0.1819670221
546	0.1819623582
547	0.1819517596
548	0.1819332027
549	0.1818925033
550	0.1818503194
551	0.181835937
552	0.181832926
553	0.1818185843
554	0.1818135688
555	0.1818080628
556	0.1817681985
557	0.1817493761
558	0.1817402309
559	0.1817344741
560	0.1817328358
561	0.1817238081
562	0.1816919507
563	0.1815552129
564	0.1815471134
565	0.1815150021
566	0.1814945283
567	0.1814814691
568	0.1814740454
569	0.1814677731
570	0.1814603797
571	0.1814387651
572	0.181401787
573	0.1813894497
574	0.181372235
575	0.1813584077
576	0.1813536583
577	0.1813409926
578	0.1813379638
579	0.1813230484
580	0.1813055829
581	0.1813024133
582	0.1812904889
583	0.1812642903
584	0.1812579203
585	0.1812494961
586	0.1812242578
587	0.1812071352
588	0.1811809367
589	0.1810804205
590	0.1810681554
591	0.181064204
592	0.1810517037
593	0.1810253341
594	0.1810053114
595	0.1810014367
596	0.1809777934
597	0.180959197
598	0.1809530687
599	0.1809270355
600	0.1808862067
601	0.1808763091
602	0.1808645487
603	0.1808589206
604	0.1808409149
605	0.1808262135
606	0.1808018311
607	0.1807924516
608	0.1807902941
609	0.1807849591
610	0.1807773975
611	0.1807709898
612	0.1807670362
613	0.180764056
614	0.180756782
615	0.1807446557
616	0.1807353338
617	0.1807303046
618	0.1807277776
619	0.180713395
620	0.1807103946
621	0.1806919447
622	0.1806688676
623	0.1806535894
624	0.1806470146
625	0.1806370328
626	0.1806314085
627	0.1806134197
628	0.1806066806
629	0.1806017598
630	0.1805826591
631	0.1805442841
632	0.1805122795
633	0.1805023247
634	0.1804903305
635	0.180484136
636	0.1804695515
637	0.1804603998
638	0.1804562788
639	0.1804315872
640	0.180427643
641	0.1804192259
642	0.1804183899
643	0.1804087977
644	0.1803815236
645	0.1803678948
646	0.1803662967
647	0.180341809
648	0.1803191257
649	0.1803142575
650	0.1803001541
651	0.1802942643
652	0.1802883735
653	0.1802785272
654	0.1802615143
655	0.1802525969
656	0.1802507981
657	0.1802146437
658	0.1801908207
659	0.1801861955
660	0.1801786331
661	0.1801759698
662	0.1801543262
663	0.1801462622
664	0.1801328311
665	0.1801225974
666	0.1801152941
667	0.1801004844
668	0.1800885422
669	0.1800803592
670	0.1800638959
671	0.1800547273
672	0.1800438045
673	0.1800257819
674	0.1800180375
675	0.1799991983
676	0.1799738242
677	0.1799559216
678	0.1799394404
679	0.1799344417
680	0.1799122717
681	0.1798971044
682	0.1798766377
683	0.1798717995
684	0.1798587763
685	0.1798530291
686	0.179839548
687	0.1798222307
688	0.17982157
689	0.1798066471
690	0.1796761
691	0.1796705723
692	0.1796645348
693	0.1796638991
694	0.1796448479
695	0.1796354264
696	0.1796229706
697	0.1796142587
698	0.1795619066
699	0.1795460415
700	0.1795375099
701	0.1795318858
702	0.1795261526
703	0.1795237329
704	0.1795113956
705	0.1795002417
706	0.1794753393
707	0.1794655116
708	0.1794438022
709	0.1794315749
710	0.1794146043
711	0.1793620491
712	0.1793549294
713	0.1793370291
714	0.1793290788
715	0.1793220896
716	0.1793182752
717	0.1793062927
718	0.1793011981
